,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
277,69.997765,203.85065,605.6052,789.35986,789.3804,789.3835
278,70.10842,204.2044,606.42847,789.35986,789.3814,789.3912
279,70.21909,204.55757,607.2479,789.35986,789.38086,789.4016
280,70.32976,204.91013,608.06384,789.35986,789.38,789.38165
281,70.44042,205.26207,608.87616,789.35986,789.37946,789.3923
282,70.55109,205.61342,609.6847,789.35986,789.38074,789.3926
283,70.66175,205.96413,610.4898,789.35986,789.37933,789.39764
284,70.772415,206.31424,611.2912,789.35986,789.38007,789.3967
285,70.88308,206.66374,612.089,789.35986,789.3805,789.385
286,70.99375,207.01268,612.88324,789.35986,789.3804,789.4005
287,71.102356,207.361,613.67395,789.35986,789.3797,789.37964
288,71.21093,207.7086,614.461,789.35986,789.3796,789.40436
289,71.31951,208.0557,615.2446,789.35986,789.38,789.37134
290,71.428085,208.40218,616.0246,789.35986,789.3804,789.40814
291,71.53667,208.74806,616.80133,789.35986,789.38055,789.4312
292,71.64525,209.09334,617.5744,789.35986,789.3797,789.39856
293,71.75382,209.43808,618.3442,789.35986,789.3796,789.3884
294,71.862404,209.7823,619.1104,789.35986,789.38055,789.3746
295,71.97098,210.12587,619.87317,789.35986,789.3801,789.3879
296,72.07956,210.46889,620.63257,789.35986,789.3797,789.38904
297,72.18813,210.8114,621.38855,789.35986,789.3796,789.3992
298,72.29477,211.15323,622.1412,789.35986,789.3798,789.38544
299,72.401375,211.49454,622.8904,789.35986,789.37994,789.3768
300,72.50797,211.83527,623.6362,789.35986,789.38,789.3919
301,72.61458,212.17543,624.37885,789.35986,789.37994,789.3881
302,72.72118,212.51503,625.11804,789.35986,789.37994,789.3717
303,72.82779,212.85411,625.85394,789.35986,789.3802,789.407
304,72.934395,213.19266,626.5865,789.35986,789.37994,789.4037
305,73.04099,213.53064,627.3159,789.35986,789.3806,789.3974
306,73.1476,213.86807,628.042,789.35986,789.38086,789.4063
307,73.2542,214.20496,628.7648,789.35986,789.38104,789.38165
308,73.36081,214.54132,629.4844,789.35986,789.381,789.3908
309,73.46557,214.87714,630.20074,789.35986,789.38086,789.38855
310,73.570305,215.21239,630.91394,789.35986,789.3811,789.37036
311,73.67504,215.54712,631.6239,789.35986,789.38104,789.3942
312,73.77978,215.88135,632.33075,789.35986,789.3805,789.3849
313,73.88451,216.21501,633.0343,789.35986,789.3796,789.39825
314,73.98924,216.54817,633.7348,789.35986,789.3804,789.39655
315,74.09398,216.88084,634.4322,789.35986,789.3799,789.4206
316,74.19871,217.21295,635.12634,789.35986,789.3796,789.3939
317,74.303444,217.54453,635.81744,789.35986,789.37964,789.38293
318,74.40818,217.87566,636.50543,789.35986,789.3801,789.39685
319,74.51292,218.20627,637.1904,789.35986,789.37946,789.4281
320,74.61589,218.53636,637.87225,789.35986,789.3799,789.4115
321,74.71885,218.86588,638.55115,789.35986,789.3804,789.39026
322,74.8218,219.1949,639.2269,789.35986,789.3806,789.3924
323,74.92476,219.52345,639.89966,789.35986,789.3805,789.382
324,75.0277,219.8515,640.56934,789.35986,789.3805,789.3897
325,75.13066,220.17906,641.2361,789.35986,789.38055,789.4069
326,75.23361,220.50613,641.89984,789.35986,789.38086,789.40137
327,75.33656,220.83273,642.5607,789.35986,789.3805,789.4045
328,75.439514,221.15883,643.21857,789.35986,789.38,789.40015
329,75.54247,221.4844,643.87354,789.35986,789.37964,789.4026
330,75.645424,221.80952,644.52545,789.35986,789.3798,789.39526
331,75.74672,222.13417,645.1745,789.35986,789.3803,789.3964
332,75.84799,222.45828,645.82056,789.35986,789.3805,789.3987
333,75.949265,222.78192,646.4638,789.35986,789.37964,789.3824
334,76.05053,223.10509,647.10425,789.35986,789.3798,789.3807
335,76.1518,223.42781,647.7417,789.35986,789.3802,789.37537
336,76.25307,223.75006,648.37646,789.35986,789.3799,789.38995
337,76.35434,224.07181,649.0082,789.35986,789.37994,789.38763
338,76.455605,224.39308,649.6372,789.35986,789.3802,789.3939
339,76.55688,224.71394,650.2634,789.35986,789.37946,789.3871
340,76.65815,225.0343,650.8868,789.35986,789.37964,789.3732
341,76.759415,225.35423,651.5073,789.35986,789.3795,789.412
342,76.8591,225.67369,652.1251,789.35986,789.37964,789.38293
343,76.95876,225.99268,652.7402,789.35986,789.37976,789.3877
344,77.058426,226.31119,653.3524,789.35986,789.37964,789.3793
345,77.15808,226.62923,653.962,789.35986,789.3799,789.39764
346,77.257744,226.94687,654.56866,789.35986,789.37994,789.40967
347,77.3574,227.26405,655.17285,789.35986,789.3796,789.4002
348,77.45706,227.58075,655.7742,789.35986,789.3803,789.38416
349,77.55672,227.89703,656.37274,789.35986,789.3796,789.39124
350,77.65638,228.21288,656.96893,789.35986,789.3799,789.3818
351,77.756035,228.52826,657.5623,789.35986,789.3802,789.37695
352,77.8557,228.84325,658.1529,789.35986,789.3803,789.3892
353,77.95385,229.15778,658.74097,789.35986,789.3798,789.4071
354,78.05198,229.47183,659.32635,789.35986,789.3794,789.4002
355,78.1501,229.78543,659.9091,789.35986,789.3794,789.3958
356,78.24823,230.09865,660.4894,789.35986,789.3797,789.4079
357,78.34636,230.41144,661.0669,789.35986,789.3802,789.40027
358,78.44448,230.72377,661.6419,789.35986,789.38,789.3815
359,78.54261,231.03569,662.2143,789.35986,789.37964,789.41565
360,78.64074,231.3472,662.7841,789.35986,789.3797,789.3895
361,78.73886,231.6583,663.3515,789.35986,789.3796,789.40533
362,78.83699,231.96892,663.91626,789.35986,789.3804,789.39655
363,78.93511,232.27917,664.4785,789.35986,789.38043,789.3958
364,79.03181,232.589,665.03827,789.35986,789.3805,789.415
365,79.12846,232.89835,665.59546,789.35986,789.3807,789.3936
366,79.22512,233.2073,666.1502,789.35986,789.3798,789.38196
367,79.321785,233.51587,666.70245,789.35986,789.3799,789.41644
368,79.41845,233.82402,667.25226,789.35986,789.37976,789.3938
369,79.51511,234.13176,667.79956,789.35986,789.38043,789.3894
370,79.61177,234.4391,668.3444,789.35986,789.3802,789.37616
371,79.70843,234.74603,668.8869,789.35986,789.38055,789.40906
372,79.805084,235.05254,669.4269,789.35986,789.37976,789.3801
373,79.90175,235.35867,669.9644,789.35986,789.3794,789.3993
374,79.99841,235.66441,670.49963,789.35986,789.38043,789.4207
375,80.0937,235.96974,671.03253,789.35986,789.38007,789.3961
376,80.18895,236.27464,671.5629,789.35986,789.3794,789.4086
377,80.28421,236.57915,672.091,789.35986,789.37976,789.4125
