,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
270,69.105865,201.22812,599.09753,789.3731,789.3779,789.3779
271,69.22102,201.59383,599.98914,789.3734,789.3779,789.3779
272,69.33618,201.95953,600.8807,789.37366,789.3779,789.3779
273,69.45133,202.32524,601.7722,789.37396,789.3779,789.3779
274,69.56649,202.69096,602.6638,789.37427,789.3779,789.3779
275,69.68165,203.05667,603.55536,789.3745,789.3779,789.3779
276,69.7968,203.42238,604.44696,789.3748,789.3779,789.3779
277,69.91196,203.78809,605.3385,789.37506,789.3779,789.3779
278,70.027115,204.1538,606.2301,789.37537,789.3779,789.3779
279,70.14227,204.51952,607.12164,789.3756,789.3779,789.3779
280,70.25732,204.88487,608.01117,789.3759,789.3779,789.3779
281,70.36455,205.22554,608.75616,789.376,789.3779,789.3779
282,70.47179,205.56624,609.5012,789.37604,789.3779,789.3779
283,70.57902,205.90692,610.2463,789.37604,789.3779,789.3779
284,70.68626,206.2476,610.9913,789.3761,789.3779,789.3779
285,70.79349,206.58829,611.7363,789.37616,789.3779,789.3779
286,70.90073,206.92897,612.4814,789.3762,789.3779,789.3779
287,71.00796,207.26965,613.2264,789.3762,789.3779,789.3779
288,71.11519,207.61034,613.97144,789.3763,789.3779,789.3779
289,71.22243,207.95102,614.7165,789.37634,789.3779,789.3779
290,71.32966,208.2917,615.4615,789.3764,789.3779,789.3779
291,71.4369,208.63239,616.20654,789.37646,789.3779,789.3779
292,71.54413,208.97307,616.95154,789.37646,789.3779,789.3779
293,71.65137,209.31377,617.6966,789.3765,789.3779,789.3779
294,71.7586,209.65445,618.44165,789.3766,789.3779,789.3779
295,71.86584,209.99512,619.18665,789.37665,789.3779,789.3779
296,71.97307,210.33582,619.9317,789.37665,789.3779,789.3779
297,72.08031,210.6765,620.67676,789.3767,789.3779,789.3779
298,72.18754,211.01718,621.42175,789.3768,789.3779,789.3779
299,72.29478,211.35786,622.1668,789.37683,789.3779,789.3779
300,72.40201,211.69855,622.9118,789.3769,789.3779,789.3779
301,72.50925,212.03923,623.65686,789.3769,789.3779,789.3779
302,72.61648,212.37991,624.4019,789.37695,789.3779,789.3779
303,72.72372,212.7206,625.147,789.377,789.3779,789.3779
304,72.83095,213.06128,625.89197,789.3771,789.3779,789.3779
305,72.93819,213.40196,626.637,789.3771,789.3779,789.3779
306,73.04542,213.74265,627.382,789.37714,789.3779,789.3779
307,73.15266,214.08333,628.1271,789.3772,789.3779,789.3779
308,73.25989,214.42403,628.87213,789.37726,789.3779,789.3779
309,73.36713,214.7647,629.6171,789.37726,789.3779,789.3779
310,73.47436,215.1054,630.3622,789.3773,789.3779,789.3779
311,73.5816,215.44608,631.10724,789.3774,789.3779,789.3779
312,73.68883,215.78676,631.85223,789.37744,789.3779,789.3779
313,73.79607,216.12744,632.5973,789.3775,789.3779,789.3779
314,73.9033,216.46812,633.3423,789.3775,789.3779,789.3779
315,74.01054,216.8088,634.08734,789.37756,789.3779,789.3779
316,74.11777,217.14949,634.8324,789.3776,789.3779,789.3779
317,74.225006,217.49017,635.5774,789.3777,789.3779,789.3779
318,74.33224,217.83086,636.32245,789.3777,789.3779,789.3779
319,74.43947,218.17154,637.0675,789.37775,789.3779,789.3779
320,74.5466,218.51189,637.81055,789.3778,789.3779,789.3779
321,74.647354,218.8322,638.43317,789.3778,789.3779,789.3779
